Airline,Aircraft,FlightDuration,TravelMonth,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,PitchDifference,WidthDifference,PercentPremiumSeats
Singapore,AirBus,12.66,Aug,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
Singapore,AirBus,12.66,Sep,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
Singapore,AirBus,12.66,Oct,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
Singapore,AirBus,6.5,Jul,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
Singapore,AirBus,6.5,Aug,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
Singapore,AirBus,6.5,Sep,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
Singapore,AirBus,6.5,Oct,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
AirFrance,AirBus,13,Sep,International,389,38,32,38,18,19,1522,3289,1.16,427,6,1,8.9
AirFrance,AirBus,13,Oct,International,389,38,32,38,18,19,1522,3289,1.16,427,6,1,8.9
AirFrance,AirBus,7.5,Aug,International,389,38,32,38,18,19,2581,2781,0.08,427,6,1,8.9
AirFrance,AirBus,7.5,Sep,International,389,38,32,38,18,19,2581,2781,0.08,427,6,1,8.9
AirFrance,Boeing,10.66,Aug,International,389,38,32,38,18,19,2996,3196,0.07,427,6,1,8.9
AirFrance,Boeing,10.66,Sep,International,389,38,32,38,18,19,2996,3196,0.07,427,6,1,8.9
AirFrance,Boeing,10.66,Oct,International,389,38,32,38,18,19,2996,3196,0.07,427,6,1,8.9
AirFrance,AirBus,8.41,Jul,International,389,38,32,38,18,19,2979,3088,0.04,427,6,1,8.9
AirFrance,AirBus,8.5,Aug,International,389,38,32,38,18,19,2979,3088,0.04,427,6,1,8.9
AirFrance,AirBus,8.5,Sep,International,389,38,32,38,18,19,2979,3088,0.04,427,6,1,8.9
AirFrance,Boeing,8.5,Oct,International,389,38,32,38,18,19,2979,3088,0.04,427,6,1,8.9
AirFrance,Boeing,11.5,Sep,International,389,38,32,38,18,19,3593,3702,0.03,427,6,1,8.9
AirFrance,Boeing,11.5,Oct,International,389,38,32,38,18,19,3593,3702,0.03,427,6,1,8.9
AirFrance,AirBus,13,Jul,International,389,38,32,38,18,19,3220,3289,0.02,427,6,1,8.9
Jet,Boeing,5.66,Aug,International,162,8,30,40,17,21,201,545,1.71,170,10,4,4.71
Jet,Boeing,3.16,Jul,International,162,8,30,40,17,21,148,397,1.68,170,10,4,4.71
Jet,Boeing,3.16,Oct,International,162,8,30,40,17,21,148,397,1.68,170,10,4,4.71
Jet,Boeing,5.66,Jul,International,162,8,30,40,17,21,187,430,1.3,170,10,4,4.71
Jet,Boeing,5.66,Aug,International,162,8,30,40,17,21,187,430,1.3,170,10,4,4.71
Jet,Boeing,5.66,Sep,International,162,8,30,40,17,21,187,430,1.3,170,10,4,4.71
Jet,Boeing,5.66,Oct,International,162,8,30,40,17,21,187,430,1.3,170,10,4,4.71
Jet,Boeing,5.66,Jul,International,162,8,30,40,17,21,245,545,1.22,170,10,4,4.71
Jet,Boeing,3.16,Aug,International,162,8,30,40,17,21,234,483,1.07,170,10,4,4.71
Jet,Boeing,2.58,Aug,International,162,8,30,40,17,21,172,304,0.77,170,10,4,4.71
Jet,Boeing,2.58,Sep,International,162,8,30,40,17,21,172,304,0.77,170,10,4,4.71
Jet,Boeing,2.58,Oct,International,162,8,30,40,17,21,172,304,0.77,170,10,4,4.71
Jet,Boeing,3.16,Sep,International,162,8,30,40,17,21,293,483,0.65,170,10,4,4.71
Jet,Boeing,2.58,Jul,International,162,8,30,40,17,21,281,451,0.6,170,10,4,4.71
Jet,Boeing,2.58,Oct,International,162,8,30,40,17,21,295,464,0.58,170,10,4,4.71
Jet,Boeing,2.58,Aug,International,162,8,30,40,17,21,380,550,0.45,170,10,4,4.71
Jet,Boeing,2.58,Sep,International,162,8,30,40,17,21,380,550,0.45,170,10,4,4.71
Jet,Boeing,3.25,Jul,International,162,8,30,40,17,21,505,696,0.38,170,10,4,4.71
Jet,Boeing,2.58,Jul,International,162,8,30,40,17,21,510,569,0.12,170,10,4,4.71
